instance_id,music_genre
32911,Anime
30681,Country
9640,Rock
40204,Rock
11034,Rap
28571,Anime
49499,Electronic
27268,Anime
15279,Electronic
28937,Rap
9452,Rap
25064,Alternative
4744,Anime
45844,Blues
8972,Jazz
31152,Rock
10665,Hip-Hop
30488,Hip-Hop
47261,Country
26714,Rock
8583,Classical
12839,Anime
49552,Rock
30126,Hip-Hop
42760,Rap
47063,Blues
32234,Blues
33755,Jazz
18608,Anime
42450,Country
38101,Hip-Hop
42265,Alternative
1990,Jazz
33025,Rock
10534,Anime
42796,Classical
45669,Rock
12118,Electronic
18382,Alternative
5150,Anime
36777,Rap
34992,Classical
27595,Classical
23489,Classical
20516,Electronic
18428,Rap
34882,Electronic
41296,Blues
30609,Hip-Hop
6354,Anime
3742,Hip-Hop
24487,Blues
15456,Country
32558,Country
20903,Anime
20819,Rock
34012,Alternative
24709,Alternative
46273,Jazz
43258,Country
44791,Rock
19380,Hip-Hop
12623,Hip-Hop
12477,Blues
39162,Alternative
34479,Country
36951,Rap
30217,Hip-Hop
27405,Electronic
45282,Country
5998,Jazz
38813,Jazz
13021,Hip-Hop
21613,Anime
28613,Jazz
45694,Rap
15571,Electronic
49824,Rock
9114,Country
42849,Classical
33306,Blues
19398,Rap
49610,Anime
12531,Jazz
16659,Rap
4311,Alternative
35143,Country
32679,Blues
45263,Classical
35648,Hip-Hop
9115,Rap
4098,Rock
46990,Jazz
46219,Blues
37055,Classical
8253,Country
18960,Jazz
42122,Rock
22944,Hip-Hop
6982,Country
8182,Alternative
28816,Jazz
28426,Jazz
39074,Classical
29983,Rock
43819,Rap
11499,Jazz
29578,Jazz
30801,Electronic
42012,Rap
17068,Rap
10739,Classical
25623,Jazz
16950,Alternative
28861,Rap
35214,Alternative
2303,Classical
24322,Blues
33939,Rap
24440,Alternative
15187,Jazz
38722,Hip-Hop
15988,Jazz
16132,Blues
34500,Jazz
12665,Hip-Hop
42535,Classical
43905,Jazz
30226,Rock
28560,Rock
3715,Rock
42933,Anime
48575,Hip-Hop
1803,Country
14264,Hip-Hop
7253,Blues
27324,Country
34877,Country
3380,Anime
13420,Alternative
26103,Classical
21989,Blues
40330,Anime
23071,Electronic
2649,Country
37081,Anime
26348,Anime
32288,Hip-Hop
16610,Rock
1265,Classical
47952,Alternative
20790,Rock
37820,Blues
45354,Blues
48529,Anime
19877,Hip-Hop
6382,Alternative
12793,Country
25621,Hip-Hop
36986,Country
35053,Hip-Hop
37881,Hip-Hop
13506,Blues
40327,Rock
27344,Country
2696,Hip-Hop
45996,Country
2747,Rock
48600,Country
17777,Hip-Hop
42272,Rock
46684,Jazz
43367,Blues
35055,Classical
33296,Blues
7421,Jazz
10667,Rap
46590,Rap
28792,Country
14941,Alternative
20451,Jazz
49930,Hip-Hop
35667,Hip-Hop
22198,Alternative
5858,Electronic
23411,Jazz
20105,Hip-Hop
45187,Country
18155,Jazz
16067,Country
8002,Country
18754,Electronic
5982,Rap
5063,Jazz
34922,Blues
49263,Alternative
19532,Rock
44718,Hip-Hop
15337,Alternative
50441,Country
13525,Electronic
6528,Electronic
49632,Anime
38240,Jazz
27752,Hip-Hop
14308,Anime
48973,Rock
31264,Hip-Hop
21233,Blues
43569,Jazz
32072,Classical
5148,Country
50304,Country
35257,Electronic
47797,Hip-Hop
42155,Alternative
8713,Rock
37951,Rock
9479,Electronic
18901,Rap
3654,Rock
45005,Classical
46898,Country
23004,Jazz
14484,Hip-Hop
6093,Classical
27607,Alternative
14957,Classical
44027,Rock
20096,Electronic
24907,Alternative
5116,Rock
31110,Country
19331,Blues
42857,Blues
23654,Anime
32573,Rap
8968,Rock
8435,Hip-Hop
9034,Anime
22529,Classical
3982,Hip-Hop
46783,Electronic
29108,Blues
41156,Hip-Hop
37594,Rap
2033,Anime
50924,Alternative
17185,Blues
37752,Country
44159,Rock
12058,Jazz
2358,Hip-Hop
12953,Blues
8602,Blues
33774,Alternative
36159,Country
3371,Rock
1560,Alternative
4007,Blues
31755,Rock
3954,Classical
19014,Country
24963,Electronic
32915,Jazz
50298,Country
12691,Rap
25968,Alternative
6439,Anime
10055,Rock
35021,Anime
42792,Anime
36806,Rap
19522,Alternative
2156,Alternative
6384,Country
2357,Jazz
39421,Blues
11978,Country
1286,Rap
26793,Rock
12385,Hip-Hop
9731,Jazz
47331,Rap
50369,Anime
43970,Classical
10392,Country
10260,Classical
17723,Rock
1012,Hip-Hop
2017,Classical
42729,Blues
7374,Rock
3599,Hip-Hop
1702,Country
23203,Rap
20309,Blues
1937,Rock
2313,Hip-Hop
48823,Hip-Hop
42384,Hip-Hop
32112,Hip-Hop
16340,Classical
10282,Rock
9123,Jazz
28493,Rap
7454,Rock
42156,Alternative
34358,Hip-Hop
40350,Blues
32360,Alternative
38099,Anime
42790,Jazz
19605,Anime
42322,Electronic
45741,Hip-Hop
30677,Hip-Hop
14530,Classical
18545,Classical
2709,Rock
45884,Country
40286,Rock
43737,Country
11847,Electronic
30596,Country
1104,Electronic
24235,Rap
44307,Hip-Hop
49433,Rap
1509,Electronic
5495,Classical
22439,Rap
5302,Anime
33857,Blues
13649,Rock
45327,Blues
47758,Anime
13886,Rock
36728,Blues
35625,Alternative
8267,Jazz
24150,Rock
6498,Hip-Hop
46821,Anime
17941,Rap
43125,Hip-Hop
50076,Rap
10854,Rock
50487,Electronic
45610,Country
26486,Classical
1051,Rap
9718,Rock
13231,Alternative
22818,Rap
11651,Jazz
29527,Classical
27783,Hip-Hop
37006,Country
31218,Anime
2818,Classical
50410,Electronic
27586,Jazz
25316,Rap
26240,Rock
18722,Classical
34266,Rock
25019,Classical
7502,Alternative
14682,Anime
35899,Classical
31020,Alternative
13809,Jazz
22281,Electronic
26863,Blues
14194,Hip-Hop
2379,Electronic
2369,Blues
16982,Alternative
43302,Country
39607,Rap
36680,Country
6076,Rock
48834,Hip-Hop
5393,Jazz
45721,Anime
25046,Country
44363,Anime
1495,Hip-Hop
28811,Rock
43295,Jazz
17503,Rock
13109,Rock
2827,Classical
26464,Country
45356,Classical
48213,Blues
20600,Country
6272,Classical
11916,Classical
43137,Anime
17222,Jazz
15166,Hip-Hop
18348,Rock
29679,Anime
14118,Blues
24788,Hip-Hop
3022,Classical
22104,Blues
32157,Rock
36880,Jazz
9492,Rap
33208,Anime
30165,Country
29809,Rock
23786,Classical
21769,Anime
21081,Jazz
15781,Country
10751,Blues
48152,Rap
34849,Classical
37628,Electronic
30346,Rap
12045,Anime
47128,Anime
36641,Classical
28490,Rap
11040,Alternative
49621,Country
29782,Anime
37373,Anime
23136,Rap
46746,Classical
36322,Jazz
22345,Classical
11088,Rock
29788,Classical
47364,Jazz
42492,Country
50988,Classical
8268,Hip-Hop
3623,Classical
24628,Classical
31952,Alternative
1639,Hip-Hop
50680,Anime
26142,Rap
46159,Hip-Hop
21698,Rock
25056,Rock
14541,Rock
35901,Country
46407,Rap
26323,Alternative
38080,Rap
49230,Rock
37331,Rock
41353,Blues
31041,Hip-Hop
22399,Electronic
41107,Rap
30860,Jazz
28752,Hip-Hop
31567,Rock
10970,Electronic
47302,Country
